id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,"['0.00329600', '0.00940000']"
6,['0.00071414']
7,['0.00329000']
8,['0.00948858']
9,"['0.00329400', '0.00329400']"
10,['0.00014860']
11,"['0.00003341', '5.00000000']"
12,['0.00794500']
13,"['0.00065863', '0.00050000']"
14,['0.02500000']
15,['1.00000000']
16,['0.00103200']
17,['0.00329400']
18,['0.00781562']
19,['0.00113082']
20,['0.01569000']
21,['0.01570000']
22,"['0.00109000', '0.99596061']"
23,['0.00390000']
24,['2.00000000']
25,['0.01000000']
26,"['0.00090000', '4.99692099']"
27,"['0.00331400', '0.00010863']"
28,['0.01010000']
29,['3.00000000']
30,['0.00663788']
31,['0.01000000']
32,['0.00500000']
33,"['0.02487856', '0.00025838']"
34,"['0.00010000', '0.00000100', '0.00018047', '0.00166846', '0.00029889', '0.00000200', '0.00056976', '0.00055069']"
35,['0.00100000']
36,['0.00328954']
37,"['0.00068430', '0.00300000']"
38,['0.00664643']
39,"['0.00006980', '0.00331623']"
40,['0.00707308']
41,['0.00382373']
42,['0.01000000']
43,['0.00796653']
44,['0.02173552']
45,['0.01300000']
46,['0.00100000']
47,['0.00100000']
48,['0.00034567']
49,['0.01659382']
50,"['0.00066743', '0.01476615']"
51,['0.01457380']
52,['0.01180988']
53,"['0.00847381', '0.00004922']"
54,['4.99576797']
55,['0.03535793']
56,['0.03198566']
57,['0.00469143']
58,['2.99703644']
59,['0.02893020']
60,['0.00777604']
61,['0.00835696']
62,"['0.00980000', '0.00129321']"
63,['0.01323712']
64,['0.99492264']
65,['4.00000000']
66,['0.00437849']
67,['2.99363992']
68,['3.99654930']
69,['1.99573048']
70,['3.99317270']
71,"['0.99146173', '0.00046070']"
72,['0.00767150']
73,['0.00509084']
74,['1.99235517']
75,['4.99240166']
76,['1.98897035']
77,['2.99024527']
78,['0.01189483']
79,['4.98903782']
80,['0.00495811']
81,"['0.00020000', '0.02585286']"
82,['0.01656181']
83,"['0.00011000', '3.99010676']"
84,['3.98659643']
85,['0.00981815']
86,['1.98549952']
87,"['0.00096385', '0.00100000']"
88,['0.98861895']
89,['0.00910000']
90,['2.98680963']
91,"['0.01306902', '0.00300000']"
92,['0.00844698']
93,['4.98558190']
94,['0.00663762']
95,['3.98306926']
96,['1.96485589']
97,"['0.00181801', '0.00076900']"
98,['2.98330439']
99,['0.00560576']
100,['0.01780000']
101,['0.03000000']
102,['1.96273387']
103,['0.00560164']
104,['0.00107722']
105,['0.00500000']
106,['0.00390000']
107,"['0.00025883', '0.01490000']"
108,['1.96062827']
109,"['0.00350289', '0.00149819']"
110,['0.00116387']
111,['0.00080000']
112,"['0.00120000', '0.00300000']"
113,['0.00480000']
114,"['0.00480000', '0.00024171', '0.00040000']"
115,['2.96820927']
116,"['0.00006080', '0.00144922', '0.00228044']"
117,['0.00034660']
118,['0.02532831']
119,['4.97541364']
120,['2.96716311']
121,['0.00790000']
122,"['0.00171142', '0.00169500']"
123,"['0.00454585', '0.00200000', '0.00200000']"
124,"['0.00100000', '0.00091371', '0.00100000', '0.00010000', '0.00008000', '0.00016667', '0.00290000', '0.00010000', '0.00080825', '0.00100000']"
125,"['0.00087643', '0.00241640', '0.00163049', '0.00000990', '0.00090000', '0.00100000', '0.00100000', '0.00025639', '0.00090000', '0.00006000', '0.00100000']"
126,"['0.00370000', '0.00480000', '0.00164882', '0.00490000']"
127,['0.00360000']
128,['0.00157143']
129,['0.01109159']
130,"['0.00341677', '0.00270000']"
131,"['0.00019940', '0.00592000']"
132,"['0.00436878', '0.00200000']"
133,"['0.00300000', '0.00464370', '0.00110000', '0.00228410']"
134,['0.00287447']
135,"['0.00213902', '0.00191109', '0.00049540', '0.00120000', '0.00100000', '0.00100000', '0.00226500']"
136,"['0.00800000', '0.00500000']"
137,['0.00300000']
138,['2.95787596']
139,['0.00784392']
140,"['0.00297638', '0.00010856', '0.00900000', '0.00097533']"
141,['0.00500000']
142,"['0.00100000', '0.00069882', '0.00100000']"
143,['0.00069448']
144,"['0.00200000', '0.00023815']"
145,['0.01450000']
146,['0.00880000']
147,['0.01000000']
148,"['0.00100000', '0.00297347', '0.00180000']"
149,"['0.00600000', '0.00012495', '0.00070000', '0.00300000']"
150,['0.01000000']
151,"['0.00444318', '2.95615558']"
152,['1.95956896']
153,"['0.00500000', '0.01680000', '0.01967058', '0.00860000']"
154,['0.01000000']
155,['3.98081308']
156,"['0.00027647', '0.00300000', '0.00090000', '0.00621814', '0.01571164', '0.06000000', '0.00090000', '0.00001831', '0.00040000', '0.00575048', '0.01714000', '0.00523545', '0.00263338', '0.00290000']"
157,['0.00500000']
158,['0.00142434']
159,['2.90154871']
160,['2.80152503']
161,"['0.03300000', '0.98580079']"
162,"['0.00057374', '0.00500000']"
163,"['0.00084400', '0.00280000', '0.00038000']"
164,"['0.00500000', '0.00001888']"
165,['0.00600000']
166,['0.00729742']
167,"['0.00300000', '0.00017000']"
168,"['0.00098633', '0.00831922', '0.00001096', '0.00056238', '0.00015354']"
169,['0.05000000']
170,"['0.00100000', '0.00900000', '0.00010000']"
171,['0.00658696']
172,['0.00521420']
173,"['0.00021000', '0.00040000', '0.00394182']"
174,"['0.00500000', '0.00004381']"
175,"['0.00963986', '0.00090000']"
176,"['0.00005268', '0.00980000', '0.00033778', '0.00004108']"
177,"['0.00001825', '0.00800000', '0.00250000']"
178,['0.01293700']
179,['0.00230457']
180,['0.00200315']
181,['0.05000000']
182,"['0.00169524', '0.00969612']"
183,['4.97238169']
184,['0.05000000']
185,['0.00058767']
186,['0.00500000']
187,"['0.00436558', '0.01000000']"
188,"['0.00090000', '0.01000000', '0.00334951']"
189,['0.01500000']
190,['0.00389681']
191,['0.01000000']
192,"['0.00013945', '0.00001210', '0.00318000', '0.00880000']"
193,['0.04000000']
194,['0.01000000']
195,['0.03967221']
196,['0.03888099']
197,['0.01000000']
198,['0.00900000']
199,"['0.01000000', '0.00800000', '0.00099000']"
200,"['0.00187931', '0.00014000']"
201,"['0.00200000', '0.00010000', '0.00170000', '0.00037236', '0.00050000', '0.00180000', '0.00090000', '0.00028000']"
202,['0.00044827']
203,['0.03500000']
204,['0.00730904']
205,"['0.00390000', '0.01000000']"
206,['0.02310000']
207,['0.09980000']
208,['0.00415165']
209,['0.00629213']
210,['0.00078034']
211,['0.03853322']
212,"['0.09990000', '0.00022832']"
213,"['0.00229870', '0.02898191']"
214,['0.00400000']
215,"['0.00097600', '0.02400000', '0.00006080', '0.05000000']"
216,"['0.00005243', '0.00180000', '0.00700000', '0.00039116', '0.00048832', '0.00019558', '0.00005460', '0.00005460']"
217,"['0.02014212', '0.01990000', '0.06000000']"
218,['0.04897940']
219,['0.00100000']
220,['0.00079757']
221,"['0.00990000', '0.07024500', '0.01000000', '0.02332259', '0.01090000']"
