----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_2019-2020-per-day
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 |  |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 15.18510537 | 31.2900000000 | 53 | 267 | 408 | 233 | 2 | 194 | bnb: **39** ; Total: **39** | 0.00000555 | 4.99660348 | 0.604751930773 | 1.35922547470 | 0.01375430 | 0.0000590313304721 | 0.000360400000 | 0.014114700000 | 1 | 17 | 1.75107296137 | 1.75376716665 | knapsack: **95** ; bnb: **39** ; srd: **99** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 23.90291131 | 60.3360000000 | 132 | 594 | 773 | 406 | 2 | 311 | bnb: **95** ; Total: **95** | 0.00000555 | 8.81566743 | 0.569694957267 | 1.31679011858 | 0.03241286 | 0.0000798346305419 | 0.000897600000 | 0.033310460000 | 1 | 17 | 1.90394088670 | 1.97218541097 | knapsack: **115** ; bnb: **95** ; srd: **196** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 27.25221235 | 96.2666666667 | 246 | 961 | 1105 | 539 | 2 | 390 | bnb: **148** ; knapsack: **1** ; Total: **149** | 0.00000555 | 8.81566743 | 0.523493085205 | 1.34263305399 | 0.04239265 | 0.0000786505565863 | 0.00167280000 | 0.04406545000 | 1 | 17 | 2.05009276438 | 2.23425823098 | knapsack: **150** ; bnb: **148** ; srd: **241** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 19.62821694 | 142.372000000 | 238 | 1316 | 1534 | 684 | 5 | 456 | bnb: **225** ; knapsack: **3** ; Total: **228** | 0.00000555 | 8.81566743 | 0.455683978991 | 1.25366699103 | 0.05360721 | 0.0000783731140351 | 0.00161840000 | 0.05522561000 | 1 | 22 | 2.24269005848 | 2.44701193776 | knapsack: **178** ; bnb: **225** ; srd: **281** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 26.24654662 | 164.121200000 | 249 | 1682 | 1963 | 818 | 5 | 530 | bnb: **285** ; knapsack: **3** ; Total: **288** | 0.00000555 | 9.76032964 | 0.418250598509 | 1.24052979117 | 0.06781441 | 0.0000829027017115 | 0.00169320000 | 0.06950761000 | 1 | 72 | 2.39975550122 | 3.67036495291 | knapsack: **192** ; bnb: **285** ; srd: **341** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 18.31752646 | 173.550000000 | 191 | 2008 | 2446 | 992 | 5 | 629 | bnb: **360** ; knapsack: **3** ; Total: **363** | 0.00000555 | 9.76032964 | 0.386399646979 | 1.22806283043 | 0.08528101 | 0.0000859687600806 | 0.00129880000 | 0.08657981000 | 1 | 72 | 2.46572580645 | 3.54712183854 | knapsack: **227** ; bnb: **360** ; srd: **405** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 26.33089546 | 182.802571429 | 237 | 2415 | 2853 | 1085 | 5 | 675 | bnb: **406** ; knapsack: **4** ; Total: **410** | 0.00000555 | 9.76032964 | 0.375041583615 | 1.20318945425 | 0.09749508 | 0.0000898572165899 | 0.00161160000 | 0.09910668000 | 1 | 98 | 2.62949308756 | 4.58911919263 | knapsack: **239** ; bnb: **406** ; srd: **440** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 23.39026846 | 187.131750000 | 167 | 2818 | 3374 | 1182 | 5 | 723 | bnb: **452** ; knapsack: **7** ; Total: **459** | 0.00000555 | 9.76032964 | 0.363210359682 | 1.16626846352 | 0.10871741 | 0.0000919775042301 | 0.00113560000 | 0.10985301000 | 1 | 141 | 2.85448392555 | 6.30423773412 | knapsack: **256** ; bnb: **452** ; srd: **474** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 15.25751635 | 186.067333333 | 154 | 3213 | 3840 | 1287 | 5 | 781 | bnb: **495** ; knapsack: **11** ; Total: **506** | 0.00000555 | 9.76032964 | 0.342382603124 | 1.12521319776 | 0.12864759 | 0.0000999592773893 | 0.00104720000 | 0.12969479000 | 1 | 141 | 2.98368298368 | 6.23020394277 | knapsack: **281** ; bnb: **495** ; srd: **511** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 15.66898730 | 183.601000000 | 174 | 3571 | 4259 | 1429 | 5 | 862 | bnb: **551** ; knapsack: **16** ; Total: **567** | 0.00000555 | 9.76032964 | 0.316839857216 | 1.07493557397 | 0.14404921 | 0.000100804205738 | 0.00118320000 | 0.14523241000 | 1 | 141 | 2.98040587824 | 5.98302052220 | knapsack: **317** ; bnb: **551** ; srd: **561** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 21.89030188 | 180.661090909 | 130 | 3938 | 4740 | 1562 | 5 | 932 | bnb: **612** ; knapsack: **18** ; Total: **630** | 0.00000555 | 9.76032964 | 0.323238004260 | 1.08010026244 | 0.16266583 | 0.000104139455826 | 0.000884000000 | 0.163549830000 | 1 | 141 | 3.03457106274 | 5.87310470267 | knapsack: **341** ; bnb: **612** ; srd: **609** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 20.29898902 | 171.334666667 | 83 | 4278 | 5230 | 1722 | 5 | 1035 | bnb: **666** ; knapsack: **21** ; Total: **687** | 0.00000555 | 9.76032964 | 0.404318989604 | 1.29853519463 | 0.18467462 | 0.000107244262485 | 0.000564400000 | 0.185239020000 | 1 | 141 | 3.03716608595 | 5.71305025986 | knapsack: **363** ; bnb: **666** ; srd: **693** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 20.76619101 | 165.314307692 | 157 | 4650 | 5611 | 1850 | 5 | 1118 | bnb: **708** ; knapsack: **24** ; Total: **732** | 0.00000555 | 9.76032964 | 0.398453810322 | 1.25364074587 | 0.19881357 | 0.000107466794595 | 0.00106760000 | 0.19988117000 | 1 | 141 | 3.03297297297 | 5.62728175696 | knapsack: **380** ; bnb: **708** ; srd: **762** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 27.11833395 | 161.208000000 | 93 | 4990 | 6116 | 2010 | 5 | 1219 | bnb: **764** ; knapsack: **27** ; Total: **791** | 0.00000555 | 9.76032964 | 0.378006035299 | 1.20556895502 | 0.21134374 | 0.000105146139303 | 0.000632400000 | 0.211976140000 | 1 | 141 | 3.04278606965 | 5.53770371796 | knapsack: **419** ; bnb: **764** ; srd: **827** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 16.81524258 | 158.112266667 | 119 | 5335 | 6538 | 2165 | 5 | 1322 | bnb: **814** ; knapsack: **29** ; Total: **843** | 0.00000555 | 9.76032964 | 0.366520113775 | 1.16943159435 | 0.23219020 | 0.000107247205543 | 0.000809200000 | 0.232999400000 | 1 | 141 | 3.01986143187 | 5.39862659498 | knapsack: **430** ; bnb: **814** ; srd: **921** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 12.71874794 | 151.767500000 | 76 | 5654 | 7033 | 2346 | 5 | 1455 | bnb: **859** ; knapsack: **32** ; Total: **891** | 0.00000555 | 9.76032964 | 0.407519591409 | 1.21792999677 | 0.25241982 | 0.000107595831202 | 0.000516800000 | 0.252936620000 | 1 | 141 | 2.99786871270 | 5.30683227578 | knapsack: **468** ; bnb: **859** ; srd: **1019** |
| bustabit-tiny-hot-wallet_2019-2020-per-day | 26.41776113 | 146.683764706 | 73 | 5963 | 7493 | 2537 | 5 | 1603 | bnb: **901** ; knapsack: **33** ; Total: **934** | 0.00000555 | 9.76032964 | 0.395408875190 | 1.19088303657 | 0.26424998 | 0.000104158446985 | 0.000496400000 | 0.264746380000 | 1 | 141 | 2.95348837209 | 5.17937366148 | knapsack: **529** ; bnb: **901** ; srd: **1107** |
